Year	District ID	Name of district	Title of respondent	Type of school	 Number of Male teachers	Number of female teachers	 Number of teacher's who provide special needs education	Total Number of Teachers	Number of Absent Teachers	Present Teachers
2010	105	Masaka	HEADTEACHER	Day	5.0	14.0	0.0	19.0	4.0	15.0
2010	105	Masaka	KIWEESA ANTHONY	Day	5.0	3.0	0.0	8.0	2.0	6.0
2010	105	Masaka	TEACHER	Day	8.0	3.0	0.0	11.0	8.0	3.0
2010	105	Masaka	SENIOR EDUC.ASSISTANT	Day	2.0	10.0	1.0	13.0	3.0	10.0
2010	105	Masaka	Deputy headteacher	Both	5.0	13.0	2.0	20.0	0.0	20.0
2010	105	Masaka	HEADMISTRESS	Day	2.0	10.0	0.0	12.0	7.0	5.0
2010	105	Masaka	ASSISTANT  HEADTEACHER	Day	3.0	6.0	1.0	10.0	3.0	7.0
2010	105	Masaka	Deputy	Day	5.0	6.0	1.0	12.0	10.0	2.0
2010	105	Masaka	HEAD TEACHER	Day	4.0	5.0	1.0	10.0	0.0	10.0
2010	105	Masaka	DEPUTY HEADTEACHER	Day	5.0	3.0	0.0	8.0	7.0	1.0
2010	105	Masaka	NAMUYANJA H/M	Day	4.0	4.0	0.0	8.0	4.0	4.0
2010	105	Masaka	headteacher	Day	3.0	12.0	2.0	17.0	0.0	17.0
2010	105	Masaka	DEPUTY HEADTEACHER	Day	6.0	8.0	2.0	16.0	0.0	16.0
2010	105	Masaka	HEADTEACHER	Day	2.0	7.0	1.0	10.0	0.0	10.0
2010	105	Masaka	HEAD TEACHEER	Day	4.0	11.0	1.0	16.0	9.0	7.0
2010	105	Masaka	DEPUTY HEAD MASTER	Day	8.0	6.0	1.0	15.0	7.0	8.0
2010	105	Masaka	HEADTEACHER	Both	3.0	8.0	1.0	12.0	0.0	12.0
2010	105	Masaka	deputy  headteacher	Day	4.0	9.0	2.0	15.0	4.0	11.0
2010	105	Masaka	HEADTEACHER	Day	4.0	11.0	2.0	17.0	0.0	17.0
2010	105	Masaka	MASAKA	Day	2.0	5.0	7.0	14.0	10.0	4.0
2010	105	Masaka	DEPUTY HEAD TR	Day	4.0	7.0	1.0	12.0	0.0	12.0
2010	105	Masaka	HEADMASTER	Day	6.0	7.0	0.0	13.0	59.0	-46.0
2010	105	Masaka	Headteacher	Day	5.0	8.0	0.0	13.0	14.0	-1.0
2010	105	Masaka	Deputy Head teacher	Day	5.0	7.0	0.0	12.0	12.0	0.0
2010	105	Masaka	DEPUTY HEADTEACHER	Day	7.0	7.0	1.0	15.0	10.0	5.0
2010	105	Masaka	director  of  studies	Day	8.0	9.0	1.0	18.0	2.0	16.0
2010	105	Masaka	HEAD TEACHER	Day	9.0	11.0	1.0	21.0	5.0	16.0
2010	105	Masaka	HEADTEACHER	Day	8.0	8.0	3.0	19.0	26.0	-7.0
2010	105	Masaka	TEACHER	Day	5.0	3.0	0.0	8.0	0.0	8.0
2010	105	Masaka	HEADTEACHER	Day	4.0	3.0	0.0	7.0	2.0	5.0
2010	107	Mubende	HEADTEACHER	Day	5.0	6.0		11.0	6.0	5.0
2010	107	Mubende	headteahcer	Day	7.0	3.0	3.0	13.0	8.0	5.0
2010	107	Mubende	Headmistress	Day	2.0	5.0	0.0	7.0	35.0	-28.0
2010	107	Mubende	Deputy Headmaster	Day	3.0	7.0	0.0	10.0	4.0	6.0
